time_s,truth_x,truth_y,truth_z,estimate_x,estimate_y,estimate_z,position_error_m,rotation_error_deg,sim_latency_s
21.9,-0.00026869317631941564,3.1825284729925754e-09,0.14999995860458967,0.0021412118194283165,-0.0004932222371275487,0.15096427351141414,0.0026421235101048214,0.017612938151195103,0.03400000000000247
22.0,-0.00027072947415228264,3.1621293951827945e-09,0.14999995905200553,0.0032693869874727884,-0.0002588547440032572,0.15071572058386878,0.0036210145743881548,0.011407007672221544,0.04400000000000048
22.1,-0.0002719376406015511,3.1502626505187244e-09,0.14999995931760166,0.003868579716146967,-0.003793804586600152,0.1502110991346711,0.005619736750788947,0.008938395955630622,0.05799999999999983
22.2,-0.00027294173579996833,3.140627708965153e-09,0.14999995953846304,0.004038146955627188,-0.004655234892923243,0.14978599198849227,0.006348425707749201,0.020026828481405804,0.054000000000002046
22.3,-0.00027374230129479483,3.133222177255903e-09,0.14999995971470778,0.0034852826491303603,-0.0028503720247842063,0.14982370728414046,0.004720802054585602,0.014930969970454108,0.029999999999997584
22.4,-0.0002739424426685013,3.131370794328592e-09,0.14999995975876895,0.003527975165064411,-0.0046946742461948365,0.15115630366577454,0.0061507482802245295,0.012700129769535986,0.04600000000000293
22.5,-0.0002739424426685013,3.131370794328592e-09,0.14999995975876895,0.000778258011161344,-0.001466823887950662,0.15049581879196386,0.001872053279277112,0.014407839525148904,0.045999999999999375
22.6,-0.0002739424426685013,3.131370794328592e-09,0.14999995975876895,0.0034036424665199677,0.0015028058065106298,0.15036488625820268,0.0039895135035098155,0.020072613681973567,0.055999999999997385
22.7,-0.0002739424426685013,3.131370794328592e-09,0.14999995975876895,0.006763986086860208,-0.001713891059120891,0.14962943675583087,0.00725307924806158,0.008203340894588134,0.04400000000000048
22.8,-0.0002739424426685013,3.131370794328592e-09,0.14999995975876895,0.0034734328858126965,-0.0002919057177694648,0.15048216522982671,0.0037895322594000956,0.013479563308731131,0.053999999999998494
22.9,-0.0002739424426685013,3.131370794328592e-09,0.14999995975876895,0.0029613997007837058,-0.002980532443028634,0.14921786689764477,0.0044679637799427,0.02255159598641636,0.03400000000000247
23.0,-0.0002739424426685013,3.131370794328592e-09,0.14999995975876895,0.0041299836004829605,-0.002345881404108065,0.14950923462558952,0.005013835857273404,0.007031164858538949,0.04200000000000159
23.1,-0.001005918984593476,8.605610963082196e-10,0.14997890118739227,0.0030618446303135732,-0.0008876921264878114,0.15062016242289386,0.0042125901341306055,0.018832538876324856,0.03200000000000003
23.2,-0.0009300778345995758,8.622838128852829e-10,0.14999209913306608,0.001976110098135242,-0.0022743090388573422,0.1486061187551319,0.003941998913599634,0.08598321441869175,0.04200000000000159
23.3,-0.0008737201211491966,-9.788751055576523e-09,0.14993271138402736,-0.00344676690064177,0.0009055342996404478,0.15079554298680625,0.0028609540716746733,0.07648979363045387,0.029999999999997584
23.4,-0.0016375925983772269,-1.270324329213533e-09,0.14992937714608837,0.0078317650680012,-0.006444376350288267,0.1504808761716737,0.011467469466289484,0.024031769077312155,0.0400000000000027
23.5,-0.002879758964381405,-6.69422871428744e-10,0.1499556656706974,0.0009331092104401945,-0.0034809208653491376,0.1437016065827986,0.008109748713980255,0.018428308142934353,0.03999999999999915
23.6,-0.005010084632891791,-6.360453041687647e-10,0.14995413064637325,0.003163139471148936,0.0013809155531032294,0.13957996999025613,0.013278995861707818,0.02623093925865186,0.04199999999999804
23.7,-0.006911967161120503,-6.129956508421109e-10,0.14999953912054617,0.0018757726863158223,-0.0014415444873600433,0.13737192140088292,0.015451833212984507,0.012779753990413383,0.03999999999999915
23.8,-0.009405437019709728,1.763669439997809e-09,0.15000713031656285,0.0017822074179810444,0.0004661232093544003,0.13976563874518977,0.015174610600368846,0.036809430275355014,0.03200000000000003
23.9,-0.009646836414684959,2.336671743477588e-09,0.1499598131508121,-0.0014381323605408506,0.0023273614561060527,0.13743130172964652,0.015157935913230822,0.025992684261429286,0.03200000000000003
24.0,-0.009551050373822612,2.3231349896137953e-09,0.14997567145823804,-0.002140157020104968,-0.00104416409957757,0.14081878848483304,0.011826247486296364,0.028191311006293174,0.03999999999999915
24.1,-0.009455670496270623,2.314194053914039e-09,0.1499852659459802,0.0005490373259779057,0.0021779913327228772,0.1397012733490178,0.014512006012532183,0.017767340244878707,0.03999999999999915
24.2,-0.00944030784677276,2.309092953985023e-09,0.14999107060017403,0.0001776490215730335,-0.0015175846426233196,0.13519066331912868,0.017716100591332152,0.04027958057071617,0.05000000000000071
24.3,-0.010128151373660672,2.3239564288737125e-09,0.14999458144962818,-0.0004480987964928856,-0.002258335244540689,0.14620035533511622,0.010639532803561573,0.0154107901158812,0.05000000000000071
24.4,-0.010832804603112957,2.3461927999632573e-09,0.1499957049953132,-0.005021725671754287,0.002203331329153161,0.1520624193330734,0.0065493973087252366,0.017402552456104076,0.0400000000000027
24.5,-0.010714169271902493,2.3401703859495253e-09,0.14999738651069933,-0.00718354250964707,0.0011724824581962287,0.15179265468437897,0.004130741189780248,0.02708527471730116,0.03999999999999915
24.6,-0.010573970888170093,2.3358612825017215e-09,0.14999840374491,-0.0060954674405785305,-0.0023315279329828445,0.1526349085323551,0.005695979636449447,0.014409907216355912,0.04999999999999716
24.7,-0.010106483545503114,2.328204733332813e-09,0.14999901942638805,-0.0006375947775088047,-0.0016635691602626458,0.14894109680770967,0.009671945247208633,0.0062892645870375125,0.05000000000000071
24.8,-0.009891044723689357,2.324366138751131e-09,0.14999939169397253,-0.002743659548735811,0.00160258739069474,0.14899560038986112,0.007393307156893649,0.019208192562822222,0.05000000000000071
24.9,-0.00984637501567595,2.322991612546718e-09,0.14999961404596734,-0.0011767445465078585,0.001292620852435354,0.14997772957973463,0.008765491090888823,0.011929722166081538,0.052000000000003155
25.0,-0.01009237403853355,2.325634578690467e-09,0.14999975259422899,-0.0036421651442398832,0.0008375558466400773,0.14655555963391365,0.007359969825241105,0.00899271275799695,0.038000000000000256
25.1,-0.010792824516257338,2.33469923181748e-09,0.14999983421618535,-0.0007541033844331319,0.002087126389595149,0.14955062390355914,0.010263225549895548,0.02129994132720797,0.04999999999999716
25.2,-0.010751189849939391,2.334114029115111e-09,0.14999988459537408,-0.0012133602483004073,-0.001433586787198863,0.14816504529379246,0.009817943091161003,0.009858240065546194,0.0519999999999996
25.3,-0.010661890211874662,2.3331614787153122e-09,0.14999991503761398,-0.004822985537922457,-0.0010762992180919227,0.14858906608302377,0.006102600068282344,0.00812577429957089,0.027999999999998693
25.4,-0.010309522485383681,2.3287438618717987e-09,0.14999993367439998,-0.005809798740944455,-0.0010143295941368482,0.15046835714590867,0.004636356713488005,0.010425417287670949,0.0400000000000027
25.5,-0.009932002686338893,2.3238191230181117e-09,0.1499999449916268,-0.005863237611826248,0.0030874885681946205,0.14897250622666144,0.00520989932307097,0.0034679039216747943,0.04200000000000159
25.6,-0.009866782022632954,2.3228463841852966e-09,0.14999995142601283,-2.528920787563463e-05,-0.001278366834883696,0.14744619519364796,0.010247481613581839,0.01657734966829173,0.04999999999999716
25.7,-0.009898778264081103,2.3229921780234873e-09,0.14999995541138442,0.0007031183940134633,-0.0022516994883379246,0.1488360605361473,0.010900689201911371,0.01145755786691449,0.05000000000000071
25.8,-0.010563563066488816,2.331705496993628e-09,0.14999995692025883,-0.002433666499651147,-0.003721391511909303,0.14907386950602625,0.008988972590100218,0.011929412531176032,0.03999999999999915
25.9,-0.011019316673050549,2.337880434242606e-09,0.1499999586091706,-0.0034358504401820096,-0.0005263768263321965,0.14811342535369773,0.007832307632720996,0.011226359389221898,0.0400000000000027
26.0,-0.015037429286212236,2.392705604305814e-09,0.14999996018284112,-0.009302160295365357,-0.0007770443056871164,0.14788877087269156,0.006160700631595612,0.014028167003811778,0.03999999999999915
26.1,-0.02402686774240409,2.5152191290210003e-09,0.14999996109805147,-0.016836591589631328,0.004080480029575827,0.14905554367594212,0.008321195356767376,0.034415187544061615,0.03999999999999915
26.2,-0.035136272988357926,2.666556266204561e-09,0.14999996177063293,-0.0419151873491393,0.007345992340518881,0.15290955693690716,0.010410715068254422,0.021241247249171265,0.04200000000000159
26.3,-0.049543723177020334,2.8625823071138585e-09,0.14999996202088905,-0.04786188925666707,0.0023001599515124357,0.1488996752865359,0.003054491588988242,0.03327114816698138,0.05000000000000071
26.4,-0.06958499130714578,3.1353104016990816e-09,0.14999996219877518,-0.06041331942587845,0.0038396087528754816,0.1522150642790856,0.010186697876263077,0.031201786055078326,0.04800000000000182
26.5,-0.09734449719446513,3.5136228055990083e-09,0.14999996199376778,-0.07753063480045254,-0.0009192551997953533,0.14772269010003167,0.019965473869384163,0.03953384850034868,0.03999999999999915
26.6,-0.13799774355829614,4.069214756245241e-09,0.14999996182558212,-0.13221336875284603,0.010743222971231979,0.1519417669726529,0.012355013213095997,0.08021578665987844,0.038000000000000256
26.7,-0.18596148551173375,4.7269755418952186e-09,0.14999996215849523,-0.15417019516302932,-0.007592230245830389,0.15395414046951117,0.03292360399520735,0.10989557821246514,0.030000000000001137
26.8,-0.23910791605566242,5.458383898382436e-09,0.14999996227207224,-0.23553591876975863,0.0004269729587854402,0.1517771047966682,0.0040124433216720354,0.13473031395595417,0.03999999999999915
26.9,-0.2954593851866496,6.236658216936168e-09,0.14999996243104116,-0.2712903243529361,0.0014751990794569865,0.14911419779288343,0.024230234718248183,0.13412886433352658,0.0400000000000027
